hnn_time_s,hnn_squared_position_error,hnn_cumulative_mse,lqr_time_s,lqr_squared_position_error,lqr_cumulative_mse
6.510463953,0.01366781655,0.0731621727,2.373003006,0.005987024793,0.1748777957
6.569230795,0.01387879571,0.07266399306,2.393544912,0.005927777249,0.1734580477
6.622949839,0.01396669855,0.07217484894,2.412956953,0.005891660342,0.1720616611
6.67212081,0.01407597683,0.07169469297,2.432026863,0.005807891794,0.170687663
6.730373859,0.01407499145,0.07122240034,2.452343941,0.005744665109,0.1693356712
6.773371935,0.01410705317,0.07075804792,2.472187996,0.005678124221,0.1680051221
6.823488951,0.01414420029,0.07030148464,2.492347956,0.005602446386,0.1666954231
6.869355917,0.01416436463,0.06985238768,2.51293087,0.005534505286,0.1654061357
6.911502838,0.01422355256,0.06941088898,2.532460928,0.00545827131,0.1641367082
6.961570978,0.01428658777,0.06897683937,2.553009987,0.005417823449,0.1628869533
7.008089781,0.01434593204,0.0685500354,2.572312832,0.005382027581,0.161656446
7.059611797,0.01440502146,0.06813030661,2.592120886,0.005320794134,0.1604445417
7.113272905,0.01450789534,0.06771782653,2.612087965,0.005278322036,0.1592509554
7.183041811,0.0146236072,0.06731252714,2.633044958,0.005227440041,0.1580752034
7.226624012,0.01465431136,0.06691360127,2.652323008,0.005201929769,0.1569170725
7.274947882,0.01469360829,0.06652096974,2.672785997,0.005151001586,0.1557759743
7.367153883,0.01467325196,0.06613404647,2.692880869,0.005090587899,0.1546514565
7.441558838,0.01459594849,0.06575228278,2.726194859,0.005052333237,0.1535433148
7.499528885,0.01446073899,0.06537513908,2.752580881,0.004946665291,0.1524506924
7.582251787,0.01429829938,0.06500231543,2.773159981,0.004955280641,0.1513740835
7.650887012,0.01415069134,0.0646338254,2.7926929,0.00494174024,0.1503129796
7.697124004,0.01400854099,0.06426961472,2.812681913,0.004939022118,0.1492671238
7.745073795,0.01395239425,0.06391020601,2.832900047,0.004920829196,0.1482360788
7.803305864,0.01385431672,0.0635551997,2.853739977,0.004942715624,0.1472198138
7.849419832,0.01375185245,0.0632044719,2.873255968,0.004963439376,0.1462180084
7.896873951,0.01376413435,0.06285873528,2.892648935,0.004989447058,0.1452303961
7.940991879,0.01356494849,0.06251641731,2.913420916,0.005016369941,0.1442566876
7.990448952,0.01345317981,0.06217805016,2.932860851,0.005045648885,0.1432966114
8.041149855,0.01326964956,0.06184306111,2.952744007,0.00512559002,0.1423502346
8.090802908,0.01303056219,0.0615110033,2.973453045,0.005177613017,0.1414170875
8.141644001,0.01281470607,0.06118197426,2.99267602,0.005267869573,0.1404971603
8.189058781,0.01253448629,0.06085548105,3.012840986,0.005352787249,0.1395901511
8.240158796,0.01236160908,0.06053218857,3.033120871,0.005438611465,0.1386958075
8.289784908,0.01218751983,0.0602120252,3.052861929,0.005499311621,0.1378137115
8.337460995,0.01209577073,0.0598954709,3.072916031,0.005637311309,0.1369441299
8.430238962,0.01200632379,0.05958246994,3.093050957,0.005727847125,0.1360865072
