Return,Controller
4.39062616204826,MLP
10.197400637682376,MLP
10.934607366221828,MLP
8.395947479134382,MLP
6.571538689770416,MLP
6.428028601881103,MLP
14.39853593429612,MLP
16.804704394402496,MLP
6.318085742202356,MLP
6.962823375962561,MLP
9.089645238984122,MLP
6.315681716371812,MLP
8.574035061004782,MLP
14.366608736773873,MLP
11.688426082363113,MLP
4.018174276679781,MLP
5.877840435577773,MLP
11.247099469565173,MLP
2.827777792319591,MLP
5.524038965920156,MLP
13.002431518277469,MLP
7.417601197677475,MLP
22.407582541387505,MLP
9.506175065698041,MLP
17.281729602148157,MLP
3.4765147269519368,MLP
6.328259580590839,MLP
11.925232164274151,MLP
4.454306960885022,MLP
11.127519410939902,MLP
1.774072629793323,MLP
8.664511481912394,MLP
11.274524745297226,MLP
3.5584561060830624,MLP
6.83884280900495,MLP
7.953842307531946,MLP
3.2002443110857826,MLP
6.465567144558425,MLP
3.3638499364988546,MLP
7.2804591532508605,MLP
7.979806355082439,MLP
5.874273582132506,MLP
7.48044451786492,MLP
9.024045249315613,MLP
6.047701393732733,MLP
11.06281239918904,MLP
6.781984609958425,MLP
10.165074200889226,MLP
5.336860357055621,RL
6.880427120023451,RL
5.692313379589874,RL
11.334886304749375,RL
15.635404750183877,RL
16.084925806895615,RL
9.422131396047096,RL
7.483259821691504,RL
15.308677124199164,RL
27.54004880915054,RL
6.643847243501349,RL
8.498416674889224,RL
16.3557191653165,RL
8.716189788427602,RL
8.145183331047438,RL
33.49434128385561,RL
14.12076089398963,RL
8.874944304989222,RL
11.629747055826336,RL
29.040893266701385,RL
5.37784116564068,RL
5.989311038960383,RL
14.814176782711186,RL
10.559368402734494,RL
37.33342869868103,RL
12.485497485954054,RL
22.127949862283998,RL
4.6317236086357445,RL
11.408361327960144,RL
22.5095567243857,RL
6.760034284759557,RL
13.81755586064883,RL
3.151753132124613,RL
9.209031620456935,RL
21.664315444247308,RL
4.527948932084612,RL
8.846830359189601,RL
12.0829781926708,RL
5.20556606525287,RL
7.405717958356053,RL
3.8610547278310534,RL
12.27252506114617,RL
11.696568579646188,RL
6.382751466831194,RL
8.394197588232256,RL
10.969128299305613,RL
10.97683351063001,RL
23.47226610486586,RL
9.177669656248053,RL
13.398408978449785,RL
4.378407331840605,OPINN
4.9669369850391645,OPINN
4.186468633863608,OPINN
9.779431715594884,OPINN
10.437056209965343,OPINN
9.311897072412373,OPINN
7.03667284389861,OPINN
5.8549688018444215,OPINN
13.757990804912735,OPINN
18.925380122366775,OPINN
5.90779014645157,OPINN
8.449884058210769,OPINN
10.407180599923976,OPINN
7.352088378365266,OPINN
7.874409238003537,OPINN
15.315307102311074,OPINN
11.975495351267307,OPINN
4.6667963336597555,OPINN
6.999812847036118,OPINN
11.476931466044755,OPINN
2.85595034419196,OPINN
5.2360374337623625,OPINN
11.935915479645807,OPINN
7.331687863730502,OPINN
26.407497849728962,OPINN
11.7668530044123,OPINN
19.06409479528399,OPINN
3.8786550817364565,OPINN
7.134512130191445,OPINN
13.562367872977084,OPINN
4.435972138335674,OPINN
11.323735923179969,OPINN
1.6544734774607157,OPINN
8.452996243414905,OPINN
10.867920037574958,OPINN
3.37516159364808,OPINN
6.768477897944544,OPINN
10.87679187869204,OPINN
3.8997861410939474,OPINN
5.979967639319032,OPINN
3.1038378891546903,OPINN
8.931221434130219,OPINN
7.323108797438216,OPINN
6.9086340997184115,OPINN
8.659173809932884,OPINN
9.671671098158871,OPINN
6.604070760958611,OPINN
12.142792091641503,OPINN
7.864816127214872,OPINN
13.085142473275383,OPINN
