鏃堕棿(s)	浣嶇疆x(m)	浣嶇疆y(m)	浣嶇疆z(m)	娆ф媺瑙抮oll(rad)	娆ф媺瑙抪itch(rad)	娆ф媺瑙抷aw(rad)	閫熷害x(m/s)	閫熷害y(m/s)	閫熷害z(m/s)
1782895723.391405	-0.485363	-0.003483	1.297295	0.009718	-0.007602	0.407855	0.032231	-0.016301	-0.021823
1782895723.399757	-0.485363	-0.003483	1.297295	0.009718	-0.007602	0.407855	0.032231	-0.016301	-0.021823
1782895723.410357	-0.485073	-0.003419	1.297192	0.011037	-0.008090	0.410494	0.032231	-0.016301	-0.021823
1782895723.421296	-0.484783	-0.003537	1.296881	0.009988	-0.009577	0.413890	0.028350	-0.012484	-0.004588
1782895723.430171	-0.484595	-0.003433	1.296863	0.009011	-0.008988	0.414991	0.028350	-0.012484	-0.004588
1782895723.442030	-0.484372	-0.003365	1.296693	0.007463	-0.007447	0.416543	0.033100	-0.015503	-0.004589
1782895723.453082	-0.484071	-0.003330	1.296547	0.008484	-0.006195	0.418391	0.024764	-0.009993	-0.012851
1782895723.460385	-0.483963	-0.003268	1.296447	0.007370	-0.006520	0.420153	0.024764	-0.009993	-0.012851
1782895723.470616	-0.48383	-0.003159	1.296332	0.003735	-0.004831	0.422046	0.024954	-0.012735	0.003756
1782895723.479777	-0.483633	-0.003238	1.296162	0.001879	-0.005081	0.425267	0.024954	-0.012735	0.003756
1782895723.489551	-0.483352	-0.003313	1.296095	0.003981	-0.005193	0.428052	0.024954	-0.012735	0.003756
1782895723.499850	-0.483352	-0.003313	1.296095	0.003981	-0.005193	0.428052	0.028432	-0.015090	-0.003185
1782895723.509829	-0.48316	-0.003349	1.296073	0.004347	-0.005223	0.429318	0.028432	-0.015090	-0.003185
1782895723.519558	-0.482996	-0.003247	1.296035	0.005475	-0.004939	0.431289	0.019325	-0.007884	-0.002533
1782895723.529438	-0.482824	-0.003092	1.295980	0.007154	-0.004341	0.432948	0.019325	-0.007884	-0.002533
1782895723.544589	-0.482758	-0.003011	1.295935	0.009683	-0.004021	0.434001	0.025441	-0.012439	0.012782
1782895723.554014	-0.482574	-0.003129	1.296046	0.010229	-0.003566	0.436209	0.025441	-0.012439	0.012782
1782895723.560872	-0.482364	-0.003152	1.295977	0.010817	-0.003785	0.439148	0.023113	-0.011400	-0.006718
1782895723.570451	-0.482247	-0.003252	1.295899	0.008563	-0.005063	0.441258	0.015535	-0.007599	0.001848
1782895723.580663	-0.48205	-0.003228	1.296076	0.005046	-0.004612	0.443008	0.015535	-0.007599	0.001848
1782895723.591245	-0.481979	-0.003151	1.296023	0.007089	-0.004653	0.445125	0.021530	-0.011987	0.007807
1782895723.599790	-0.481979	-0.003151	1.296023	0.007089	-0.004653	0.445125	0.021530	-0.011987	0.007807
1782895723.610897	-0.481932	-0.003074	1.296008	0.005959	-0.004104	0.445837	0.018141	-0.010791	-0.011710
1782895723.620318	-0.481848	-0.003081	1.296060	0.008789	-0.004781	0.446807	0.018141	-0.010791	-0.011710
1782895723.630005	-0.481659	-0.003113	1.295910	0.007903	-0.005496	0.449402	0.018141	-0.010791	-0.011710
1782895723.639787	-0.48168	-0.003024	1.296048	0.010856	-0.006483	0.451998	0.011391	-0.006562	-0.004152
1782895723.649806	-0.481577	-0.002938	1.295896	0.007006	-0.004419	0.453207	0.017806	-0.009208	-0.001243
1782895723.659949	-0.4816	-0.002977	1.295831	0.007372	-0.006410	0.456411	0.017806	-0.009208	-0.001243
1782895723.670423	-0.4815	-0.002941	1.295698	0.005164	-0.005921	0.458387	0.012258	-0.008123	-0.019879
1782895723.680093	-0.481312	-0.002876	1.295632	0.008407	-0.005682	0.459774	0.012258	-0.008123	-0.019879
1782895723.689888	-0.48126	-0.002822	1.295541	0.007867	-0.005790	0.462206	0.007226	-0.006243	-0.007020
1782895723.699877	-0.48126	-0.002822	1.295541	0.007867	-0.005790	0.462206	0.007226	-0.006243	-0.007020
1782895723.709958	-0.481163	-0.002851	1.295472	0.007322	-0.005973	0.462472	0.007226	-0.006243	-0.007020
1782895723.723237	-0.481217	-0.002735	1.295507	0.008461	-0.005798	0.463951	0.013829	-0.009438	-0.007746
1782895723.730325	-0.481233	-0.002865	1.295357	0.007351	-0.005535	0.467705	0.013829	-0.009438	-0.007746
1782895723.739768	-0.481246	-0.002770	1.295259	0.004546	-0.005559	0.468602	0.006285	-0.004041	-0.019769
1782895723.750190	-0.481192	-0.002729	1.295260	0.005956	-0.004792	0.469590	0.005748	-0.005273	-0.001824
1782895723.759716	-0.481078	-0.002818	1.295139	0.003678	-0.005290	0.471205	0.005748	-0.005273	-0.001824
1782895723.769820	-0.480957	-0.002769	1.294987	0.005864	-0.005271	0.472138	0.008690	-0.008056	-0.012133
1782895723.780208	-0.480984	-0.002811	1.294999	0.007502	-0.004497	0.473717	0.008690	-0.008056	-0.012133
1782895723.791396	-0.480984	-0.002811	1.294999	0.007502	-0.004497	0.473717	-0.000218	-0.003538	-0.013143
1782895723.799755	-0.481009	-0.002851	1.294914	0.007383	-0.004000	0.474528	-0.000218	-0.003538	-0.013143
1782895723.811258	-0.481108	-0.002883	1.294858	0.007250	-0.003898	0.476643	0.002083	-0.005714	-0.002893
1782895723.819903	-0.481144	-0.002987	1.294751	0.008323	-0.004876	0.478479	0.002083	-0.005714	-0.002893
1782895723.830199	-0.481286	-0.002905	1.294492	0.008704	-0.005426	0.480538	0.002083	-0.005714	-0.002893
1782895723.841778	-0.481272	-0.003028	1.294383	0.009633	-0.006436	0.481029	0.002315	-0.004755	-0.014960
1782895723.851566	-0.481284	-0.002999	1.294327	0.012055	-0.006382	0.482022	-0.005613	-0.003376	-0.010075
1782895723.859699	-0.481384	-0.002981	1.294276	0.015074	-0.006288	0.482790	-0.005613	-0.003376	-0.010075
1782895723.869851	-0.481438	-0.002986	1.294216	0.015206	-0.006573	0.483621	-0.001973	-0.005114	-0.005657
1782895723.881032	-0.481512	-0.003179	1.294177	0.013331	-0.005825	0.486570	-0.001973	-0.005114	-0.005657
1782895723.889972	-0.481512	-0.003179	1.294177	0.013331	-0.005825	0.486570	-0.001973	-0.005114	-0.005657
1782895723.899745	-0.481659	-0.003172	1.294090	0.016059	-0.005255	0.488277	-0.002107	-0.004486	-0.014133
1782895723.910051	-0.481688	-0.003199	1.293972	0.017716	-0.004841	0.489954	-0.002107	-0.004486	-0.014133
1782895723.920322	-0.481616	-0.003272	1.293825	0.017273	-0.004409	0.492982	-0.008242	-0.004201	-0.007106
1782895723.930353	-0.481733	-0.003329	1.293746	0.015175	-0.005000	0.494888	-0.008242	-0.004201	-0.007106
1782895723.940478	-0.481834	-0.003235	1.293746	0.011465	-0.003797	0.495640	-0.011969	-0.003704	-0.000987
