时间(s)	角速度roll(rad/s)	角速度pitch(rad/s)	角速度yaw(rad/s)	推力
1782832650.555219	0.274609	0.184042	0.447662	-0.058115
1782832650.569712	0.281164	0.221782	0.428228	-0.056838
1782832650.584039	0.275903	0.211543	0.403001	-0.054521
1782832650.597228	0.276002	0.196548	0.402353	-0.052988
1782832650.612500	0.272907	0.218056	0.410257	-0.051916
1782832650.626533	0.271858	0.234770	0.389981	-0.049993
1782832650.644850	0.273492	0.269723	0.380040	-0.049993
1782832650.659397	0.271943	0.268627	0.374776	-0.048161
1782832650.674977	0.271638	0.256591	0.368198	-0.045649
1782832650.688746	0.272216	0.237290	0.366263	-0.045079
1782832650.704160	0.262728	0.224248	0.348394	-0.042807
1782832650.720600	0.262925	0.252864	0.344395	-0.042807
1782832650.736200	0.261463	0.276901	0.356614	-0.040673
1782832650.750168	0.260929	0.252182	0.362183	-0.040108
1782832650.765005	0.268897	0.268923	0.339798	-0.038413
1782832650.779989	0.266703	0.263692	0.318623	-0.037698
1782832650.794364	0.263504	0.259716	0.332392	-0.035390
1782832650.807784	0.263020	0.252972	0.330643	-0.034074
1782832650.822418	0.261983	0.271728	0.332394	-0.033776
1782832650.837832	0.261809	0.266930	0.326446	-0.033080
1782832650.851292	0.261928	0.267605	0.311559	-0.032625
1782832650.865471	0.270186	0.273354	0.287920	-0.030993
1782832650.879554	0.272668	0.276580	0.278474	-0.030225
1782832650.894559	0.273012	0.215794	0.289160	-0.028528
1782832650.908023	0.276446	0.212534	0.298277	-0.027566
1782832650.923838	0.276219	0.229470	0.304156	-0.025786
1782832650.938633	0.276620	0.230549	0.304550	-0.025786
1782832650.957435	0.281288	0.223494	0.275504	-0.024434
1782832650.973990	0.281874	0.191964	0.282186	-0.022977
1782832650.988238	0.278494	0.184370	0.277496	-0.021963
1782832651.005500	0.280929	0.189068	0.266089	-0.020926
1782832651.021582	0.277378	0.177645	0.276619	-0.019984
1782832651.037147	0.274351	0.197879	0.282128	-0.019449
1782832651.051813	0.274569	0.189799	0.282810	-0.019011
1782832651.066344	0.265949	0.175002	0.284117	-0.017931
1782832651.080422	0.265604	0.157937	0.291509	-0.016845
1782832651.097311	0.261205	0.152342	0.277648	-0.016088
1782832651.112407	0.261205	0.152342	0.277648	-0.016088
1782832651.127156	0.260800	0.166742	0.290857	-0.015133
1782832651.140554	0.261491	0.163909	0.297296	-0.014512
1782832651.155633	0.262680	0.150462	0.275051	-0.013794
1782832651.169608	0.262619	0.124095	0.291278	-0.013343
1782832651.187000	0.267644	0.129323	0.276163	-0.012280
1782832651.200522	0.267719	0.117737	0.279929	-0.012463
1782832651.216889	0.269448	0.114017	0.266515	-0.011845
1782832651.233440	0.269706	0.109133	0.263688	-0.011224
1782832651.246606	0.275301	0.119882	0.262385	-0.010784
1782832651.259917	0.277288	0.102911	0.253616	-0.010618
1782832651.273834	0.277243	0.074428	0.287112	-0.009623
1782832651.288357	0.281579	0.061542	0.276857	-0.009707
1782832651.303235	0.282195	0.043472	0.274798	-0.009280
1782832651.319382	0.280233	0.012307	0.265011	-0.008562
1782832651.336843	0.280749	0.018746	0.258731	-0.008815
1782832651.350622	0.285998	0.033326	0.257107	-0.008277
1782832651.365021	0.284131	-0.014295	0.268506	-0.007536
1782832651.379750	0.284642	0.001557	0.268925	-0.007291
1782832651.395410	0.283523	-0.026056	0.296173	-0.007224
1782832651.408617	0.279882	-0.024966	0.309050	-0.006703
1782832651.423864	0.274932	-0.008859	0.297947	-0.006173
1782832651.437835	0.278054	-0.016653	0.287967	-0.006173
1782832651.451008	0.278474	-0.029917	0.301370	-0.006013
1782832651.469620	0.276959	-0.018336	0.303479	-0.005246
1782832651.486967	0.271837	-0.032473	0.283295	-0.004581
1782832651.501146	0.271317	-0.044853	0.286863	-0.004597
1782832651.517760	0.260273	-0.063910	0.308806	-0.003429
1782832651.536257	0.263287	-0.051172	0.308873	-0.003473
1782832651.550080	0.263195	-0.057545	0.307516	-0.003164
1782832651.564354	0.262956	-0.053209	0.308222	-0.002535
